Title,Price,Link
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,"₹73,990",https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itm0946c05e6335c?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=0ac3e949-e4ac-438e-a221-82eb55effa7f.COMGFB2GMCRXZG85.SEARCH&ppt=sp&ppn=sp&ssid=2c8rb1hcf40000001733231254535&qH=312f91285e048e09
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,"₹33,350",https://www.flipkart.com/dell-inspiron-3520-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm108ece6bfe39a?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JNY5ESSQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=0ac3e949-e4ac-438e-a221-82eb55effa7f.COMGJ75HJGFDJ6JN.SEARCH&ssid=2c8rb1hcf40000001733231254535&qH=312f91285e048e09
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹48,990",https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-76g-52h4-a715-76g-gaming-laptop/p/itm45fad0c290245?pid=COMGRHJUCYY63HAA&lid=LSTCOMGRHJUCYY63HAA42YLKV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=0ac3e949-e4ac-438e-a221-82eb55effa7f.COMGRHJUCYY63HAA.SEARCH&ssid=2c8rb1hcf40000001733231254535&qH=312f91285e048e09
Infinix Zero Book Ultra AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) ZL514 Thin ...,"₹64,990",https://www.flipkart.com/infinix-zero-book-ultra-ai-pc-intel-core-7-155h-16-gb-512-gb-ssd-windows-11-home-zl514-thin-light-laptop/p/itm8f6c2175bfd95?pid=COMHFYZNZGFXQYA8&lid=LSTCOMHFYZNZGFXQYA8I85E68&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_115&otracker=search&otracker1=search&fm=Search&iid=e3f27942-77fd-494f-879f-28022b4af3dc.COMHFYZNZGFXQYA8.SEARCH&ppt=sp&ppn=sp&ssid=c3ysags6gg0000001733231284982&qH=312f91285e048e09
HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light L...,"₹50,090",https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5112tu-thin-light-laptop/p/itmafa17a199da31?pid=COMGG63HWNMXZKDF&lid=LSTCOMGG63HWNMXZKDF1BAEY1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_116&otracker=search&otracker1=search&fm=Search&iid=e3f27942-77fd-494f-879f-28022b4af3dc.COMGG63HWNMXZKDF.SEARCH&ppt=sp&ppn=sp&ssid=c3ysags6gg0000001733231284982&qH=312f91285e048e09
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0221TU Thin and Light Laptop,"₹55,990",https://www.flipkart.com/hp-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-15-fd0221tu-thin-light-laptop/p/itm35a5d83544c54?pid=COMGXNZGBJUZ6B6Z&lid=LSTCOMGXNZGBJUZ6B6ZJEUF2L&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_117&otracker=search&otracker1=search&fm=Search&iid=e3f27942-77fd-494f-879f-28022b4af3dc.COMGXNZGBJUZ6B6Z.SEARCH&ppt=sp&ppn=sp&ssid=c3ysags6gg0000001733231284982&qH=312f91285e048e09
HP Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated intel hd) 14-ek1074TU 2...,"₹67,990",https://www.flipkart.com/hp-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-intel-integrated-hd-14-ek1074tu-2-1-gaming-laptop/p/itm703454b323604?pid=COMGU4EGRV4S6EAM&lid=LSTCOMGU4EGRV4S6EAMGY1PAJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_118&otracker=search&otracker1=search&fm=Search&iid=e3f27942-77fd-494f-879f-28022b4af3dc.COMGU4EGRV4S6EAM.SEARCH&ppt=sp&ppn=sp&ssid=c3ysags6gg0000001733231284982&qH=312f91285e048e09
Apple MacBook Air Apple M3 - (8 GB/256 GB SSD/macOS Sonoma) MRXQ3HN/A,"₹1,07,990",https://www.flipkart.com/apple-macbook-air-m3-8-gb-256-gb-ssd-macos-sonoma-mrxq3hn-a/p/itmada1cc37e9cb4?pid=COMGYP5GGZN7HS3Z&lid=LSTCOMGYP5GGZN7HS3ZPXSOGK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_119&otracker=search&otracker1=search&fm=Search&iid=e3f27942-77fd-494f-879f-28022b4af3dc.COMGYP5GGZN7HS3Z.SEARCH&ppt=sp&ppn=sp&ssid=c3ysags6gg0000001733231284982&qH=312f91285e048e09
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,"₹30,990",https://www.flipkart.com/infinix-y4-max-series-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itmac98b9d6dc1d1?pid=COMGWWDHZZPZTGBF&lid=LSTCOMGWWDHZZPZTGBFDOBBF3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_120&otracker=search&otracker1=search&fm=Search&iid=e3f27942-77fd-494f-879f-28022b4af3dc.COMGWWDHZZPZTGBF.SEARCH&ppt=sp&ppn=sp&ssid=c3ysags6gg0000001733231284982&qH=312f91285e048e09
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0221TU Thin and Light Laptop,"₹55,990",https://www.flipkart.com/hp-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-15-fd0221tu-thin-light-laptop/p/itm35a5d83544c54?pid=COMGXNZGBJUZ6B6Z&lid=LSTCOMGXNZGBJUZ6B6ZJEUF2L&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_121&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGXNZGBJUZ6B6Z.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
